--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0  Cylinder:  1  Cycle No. =  21--------------------
 Crank angle[deg.],      Time_[s],  Burnt mass_[kg],          BMF_[-],     AHRR_[J/deg.],     HRR_[J/deg.]
             -55.0,   -0.00916667,       0.00000000,       0.00000000,      -0.09345593,       0.00000000
             -54.0,   -0.00900000,       0.00000000,       0.00000000,      -0.09849369,       0.00000000
             -53.0,   -0.00883333,       0.00000000,       0.00000000,      -0.10377778,       0.00000000
             -52.0,   -0.00866667,       0.00000000,       0.00000000,      -0.10932261,       0.00000000
             -51.0,   -0.00850000,       0.00000000,       0.00000000,      -0.11514353,       0.00000000
             -50.0,   -0.00833333,       0.00000000,       0.00000000,      -0.12125680,       0.00000000
             -49.0,   -0.00816667,       0.00000000,       0.00000000,      -0.12767967,       0.00000000
             -48.0,   -0.00800000,       0.00000000,       0.00000000,      -0.13443045,       0.00000000
             -47.0,   -0.00783333,       0.00000000,       0.00000000,      -0.14152851,       0.00000000
             -46.0,   -0.00766667,       0.00000000,       0.00000000,      -0.14899437,       0.00000000
             -45.0,   -0.00750000,       0.00000000,       0.00000000,      -0.15684973,       0.00000000
             -44.0,   -0.00733333,       0.00000000,       0.00000000,      -0.16511752,       0.00000000
             -43.0,   -0.00716667,       0.00000000,       0.00000000,      -0.17382191,       0.00000000
             -42.0,   -0.00700000,       0.00000000,       0.00000000,      -0.18298838,       0.00000000
             -41.0,   -0.00683333,       0.00000000,       0.00000000,      -0.19264370,       0.00000000
             -40.0,   -0.00666667,       0.00000000,       0.00000000,      -0.20281593,       0.00000000
             -39.0,   -0.00650000,       0.00000000,       0.00000000,      -0.21353444,       0.00000000
             -38.0,   -0.00633333,       0.00000000,       0.00000000,      -0.22482983,       0.00000000
             -37.0,   -0.00616667,       0.00000000,       0.00000000,      -0.23673385,       0.00000000
             -36.0,   -0.00600000,       0.00000000,       0.00000000,      -0.24927932,       0.00000000
             -35.0,   -0.00583333,       0.00000000,       0.00000000,      -0.26249992,       0.00000000
             -34.0,   -0.00566667,       0.00000000,       0.00000000,      -0.27643001,       0.00000000
             -33.0,   -0.00550000,       0.00000000,       0.00000000,      -0.29110427,       0.00000000
             -32.0,   -0.00533333,       0.00000000,       0.00000000,      -0.30655737,       0.00000000
             -31.0,   -0.00516667,       0.00000000,       0.00000000,      -0.32282342,       0.00000000
             -30.0,   -0.00500000,       0.00000000,       0.00000000,      -0.33993538,       0.00000000
             -29.0,   -0.00483333,       0.00000000,       0.00000000,      -0.35792428,       0.00000000
